id,text,true_label,pred_label,prob_ham,prob_smishing,prob_spam
0,what do u want for xma how about free text messag a new video phone with half price line rental call free now on to find out more,smishing,ham,0.6486821339453075,0.3056245712778627,0.045693294776827806
1,dont know you bring some food,ham,ham,0.9913863848458359,0.004474784459338138,0.004138830694824745
2,it s onli ard rest all ard at least which is price 4 2 bedrm,ham,ham,0.9859337715487884,0.008296462603079124,0.005769765848131695
3,oh fine i ll be by tonight,ham,ham,0.9940183189453506,0.0030619305284470427,0.0029197505262017203
4,just check in on you realli do miss see jeremiah do have a great month,ham,ham,0.996569590086144,0.0018480957222325178,0.0015823141916230076
5,lol ok i ll snatch her purs too,ham,ham,0.9930991619315322,0.003412495707966927,0.0034883423605020524
6,you have an import custom servic announc calnumb now,smishing,smishing,0.17734848986040003,0.787610494775345,0.0350410153642553
7,which is whi i never want to tell you ani of thi which is whi i m so short with you and on edg as of late,ham,ham,0.9982433021493311,0.0011544821855582292,0.0006022156651094619
8,i m on the bu love you,ham,ham,0.9937112693387037,0.003396607544030723,0.002892123117266456
9,me 2 babe i feel the same let just 4get about it both tri cheer up not fit soo muchxxlov u locaxx,ham,ham,0.9977324148236557,0.0010284325873565756,0.001239152588985995
10,noth spl wat abt u and whr ru,ham,ham,0.981451933734878,0.009486494267786654,0.009061571997335769
11,yeah probabl but not sure ilol let u know but person i wuldnt bother then again if ur goin to then i mite as well,ham,ham,0.9984008186167114,0.0008182148050298413,0.000780966578257322
12,shall i bring us a bottl of wine to keep us amus onli joke i ll bring one anyway,ham,ham,0.9923557247274903,0.0036340615081557853,0.004010213764354415
13,i wa just callin to say hi take care bruv,ham,ham,0.9949928706684084,0.0026827595626275546,0.00232436976896583
14,free for 1st week no1 nokia tone 4 ur mob everi week just txt nokia to zed pobox w45wq norm p tone 16,spam,spam,0.013100171150042623,0.015050723278924072,0.9718491055710327
15,no need to ke qi too bore izzit y suddenli thk of thi,ham,ham,0.9925035988809792,0.0037182495602068807,0.0037781515588153295
16,wa gr8 to see that messag so when r u leav congrat dear what school and wat r ur plan,ham,ham,0.9960478178482561,0.002305716764416283,0.0016464653873279193
17,ok tell me later,ham,ham,0.9977155768880497,0.0010839420768100662,0.0012004810351410222
18,smile in pleasur smile in pain smile when troubl pour like rain smile when sum1 hurt u smile becoz someon still love to see u smile keep smile,ham,ham,0.9889891318887619,0.005488482202288276,0.005522385908951785
19,navratra special launch 9th oct chd presnt phase 3 of avenue71 shona road gurgaon rs leas rs as inaugur discount sm icd to,spam,ham,0.7241721738673806,0.19082425923592417,0.08500356689669643
20,aah bless how s your arm,ham,ham,0.9549840205846091,0.025649038517855764,0.019366940897533977
21,yay can t wait to parti togeth,ham,ham,0.9639376282875337,0.020482941639327137,0.01557943007313759
22,you want to go,ham,ham,0.9956857346867088,0.0026169303081271184,0.0016973350051631075
23,a link to your pictur ha been sent you can also use,smishing,ham,0.944321675100882,0.0464769786696024,0.009201346229513336
24,i wonder if you ll get thi text,ham,ham,0.9841600729879227,0.008500822344149379,0.007339104667926798
25,parti s at my place at usf no charg but if you can contribut in ani way it is greatli appreci and yeah we got room for one more,ham,ham,0.9992458027992556,0.00036951488373929343,0.00038468231700251464
26,minimum walk is 3mile a day,ham,ham,0.9724642164262056,0.016464443256367367,0.011071340317427118
27,just now saw your messag it k da,ham,ham,0.9717174027256318,0.0165894716113309,0.011693125663037252
28,pl give her the food prefer pap veri slowli with load of sugar you can take up to an hour to give it and then some water veri veri slowli,ham,ham,0.9981743356523655,0.000848801308602857,0.0009768630390315622
29,hiya comin 2 bristol 1 st week in april le got off rudi on new yr eve but i wa snore they were drunk u bak at colleg yet my work send ink 2 bath,ham,ham,0.9959240901965112,0.0016052553076065122,0.0024706544958832026
30,monthli password for wap mobsi com is use your wap phone not pc,spam,ham,0.8595462058090134,0.07769253071665597,0.06276126347432955
31,k k what are detail you want to transfer acc no enough,ham,ham,0.9933266713190956,0.00460550067984494,0.002067828001059349
32,want to send me a virtual hug i need one,ham,ham,0.9964874594525593,0.0012509761003519433,0.0022615644470879246
33,free minut to ani mobil free text free camcord repli or call,smishing,smishing,0.1426948849228838,0.6794669384444424,0.17783817663267049
34,thanx 4 send me home,ham,ham,0.9952525791527325,0.00192658472827253,0.0028208361189952353
35,she said do u mind if i go into the bedroom for a minut ok i sed in a sexi mood she came out 5 minut latr wid a cake n my wife children were there with her,ham,ham,0.9906411478839764,0.004693093085333225,0.00466575903069694
36,me fine absolutli fine,ham,ham,0.9715716767562892,0.016522470683118625,0.011905852560592395
37,you have 1 new messag pleas call,smishing,smishing,0.3497784301150499,0.6354863522369434,0.014735217648005153
38,saw guy and doll last night with patrick swayz it wa great,ham,ham,0.9919612709629604,0.0038287711335281763,0.004209957903510801
39,ye gauti and sehwag out of odi seri,ham,ham,0.9811408955543256,0.0112606542273253,0.007598450218347779
40,well ball time to make call,ham,ham,0.9794789184069415,0.013948004130489926,0.006573077462568721
41,revers is cheat that is not mathemat,ham,ham,0.9794154467874614,0.012437852655890726,0.008146700556646187
42,dear paytm custom your paytm kyc ha expir contact custom care no immedi your account will block within 24 hr thank you paytm team,smishing,smishing,0.015376117315956186,0.9813306631309674,0.0032932195530775326
43,good friend care for each other close friend understand each other and true friend stay forev beyond word beyond time gud ni8,ham,ham,0.9809878181495725,0.009646707202094559,0.009365474648334062
44,ree entri in 2 a weekli comp for a chanc to win an ipod txt pod to to get entri std txt rate t c s appli for detail 18,spam,spam,0.07127158311484519,0.12432327423498317,0.8044051426501743
45,enjoy ur life good night,ham,ham,0.9804898280642319,0.007001964425443535,0.012508207510324717
46,mind blastin no more tsunami will occur from now on rajnik stop swim in indian ocean d,ham,ham,0.9409669943389039,0.02359093651445799,0.03544206914663725
47,i have had two more letter from i will copi them for you co one ha a messag for you speak soon,ham,ham,0.9790877703085193,0.015580336219402168,0.005331893472075978
48,fanci a shag i do interest sextextuk com txt xxuk suzi to txt cost 1 50 per msg tnc on websit x,spam,ham,0.48571388751894634,0.21240875224955583,0.30187736023149625
49,sorri for the delay ye master,ham,ham,0.9653113424681743,0.0169481862600662,0.017740471271759452
50,which channel,ham,ham,0.8345605814461395,0.07387256599979852,0.0915668525540622
51,k did you call me just now ah,ham,ham,0.9942039817844599,0.0036975277383118916,0.0020984904772269894
52,well then you have a great weekend,ham,ham,0.9873376976397786,0.009009701332936356,0.0036526010272857775
53,you have won 1 cash or a 2 prize to claim call t c rstm sw7 3ss ppm,smishing,smishing,0.012133725536906885,0.984074678599764,0.0037915958633306227
54,it just seem like weird time that the night that all you and g want is for me to come smoke is the same day as when a shitstorm is attribut to me alway come over and make everyon smoke,ham,ham,0.9998703385557728,7.492798832421246e-05,5.473345590246849e-05
55,yo you around a friend of mine s lookin to pick up later tonight,ham,ham,0.9955433006217879,0.0023422511639240775,0.002114448214289135
56,we walk from my mom right on stagwood pass right on winterston left on victor hill address is lt gt,ham,ham,0.9958662936022395,0.0022605434373061746,0.001873162960456526
57,beauti truth against graviti read care our heart feel light when someon is in it but it feel veri heavi when someon leav it,ham,ham,0.9933315910947044,0.003593657933773009,0.0030747509715217357
58,my friend just got here and say he s up hi order by a few gram he s got lt gt when can you get here,ham,ham,0.999670109858851,0.0001204257657334123,0.00020946437541851244
59,ye it possibl but dint tri pl dont tell to ani one k,ham,ham,0.9888835706800114,0.005565090519545113,0.005551338800446401
60,44 do you want a new nokia i colour phone deliveredtomorrow with free minut to ani mobil free text free camcord repli or call,smishing,smishing,0.11620756272130203,0.7085686386702404,0.17522379860845655
61,you also didnt get na hi hi hi hi hi,ham,ham,0.9803091189089727,0.008657186794507351,0.011033694296521084
62,hai ana tomarrow am come on morn lt decim gt ill be there in sathi then we ll go to rto offic repli me after came to home,ham,ham,0.9997980548750066,0.00010564271628311576,9.630240870710604e-05
63,the lay man just to let you know you are miss and thought off do have a great day and if you can send me bimbo and ugo s number ill appreci safe,ham,ham,0.9996551684315147,0.00021127218398356407,0.0001335593844982165
64,thank love but am i do torch or bold,ham,ham,0.9896137319202768,0.005851723985130192,0.004534544094593792
65,dear we got lt gt dollar hi hi,ham,ham,0.993542862346284,0.003742449999957055,0.0027146876537585823
66,stop the stori i ve told him i ve return it and he s say i should not re order it,ham,ham,0.9949027050963586,0.0024626121651116425,0.0026346827385268076
67,smith wast da i wanna gayl,ham,ham,0.9739012574715297,0.013659463690937842,0.012439278837531773
68,eastend tv quiz what flower doe dot compar herself to d violet e tulip f lili txt d e or f to now 4 chanc 2 win cash wkent p16,spam,spam,0.3547779127367625,0.12590009315189024,0.5193219941113477
69,had your mobil 11 month or more u r entitl to updat to the latest colour mobil with camera for free call the mobil updat co free on,smishing,smishing,0.07899858643842608,0.7944591071562671,0.1265423064053042
70,ok c then,ham,ham,0.9942175478324268,0.0027489629334926575,0.0030334892340800695
71,privat your account statement for show unredeem bonu point to claim call identifi code expir,smishing,smishing,0.008540349404705647,0.9867927645896336,0.004666886005659583
72,s fine anytim all the best with it,ham,ham,0.9869930907456953,0.006656180404815557,0.006350728849488283
73,no i meant the calcul is the same that lt gt unit at lt gt thi school is realli expens have you start practic your accent becaus it import and have you decid if you are do 4year of dental school or if you ll just do the nmde exam,ham,ham,0.9998048627853262,0.00014988542508209522,4.525178959244155e-05
74,you avail now i m like right around hillsborough amp lt gt th,ham,ham,0.9964830988742712,0.001646422130457074,0.001870478995271374
75,you are be rip off get your mobil content from call poli true pix rington game six download for onli 3,smishing,ham,0.6865187831157433,0.1262492636907405,0.18723195319351874
76,what is the plural of the noun research,ham,ham,0.9862750757438438,0.007495652962279747,0.006229271293878167
77,convey my regard to him best wish,ham,ham,0.9810820566004304,0.008621290076789467,0.010296653322780666
78,ask 3mobil if chatlin inclu in free min india cust serv sed ye l8er got mega bill 3 dont giv a shit bailiff due in day i o 3 want,spam,ham,0.9805506330813656,0.01109110307580952,0.008358263842821557
79,urgent we are tri to contact u today draw show that you have won a prize guarante call from land line claim c52 valid12hr onli,smishing,smishing,0.0032597622722449807,0.9965406448926472,0.00019959283510947908
80,wat r u do,ham,ham,0.988415778691098,0.007044087841092537,0.004540133467809355
81,unless it s a situat where you go gurl would be more appropri,ham,ham,0.9946881528619822,0.002486096093055236,0.0028257510449622983
82,do have a nice day today i love you so dearli,ham,ham,0.9964824538091722,0.002381759707982017,0.0011357864828453312
83,mayb you should find someth els to do instead,ham,ham,0.9853841356642093,0.010034655925619328,0.004581208410170987
84,argh my 3g is spotti anyway the onli thing i rememb from the research we did wa that provinc and sterl were the onli problem free place we look at,ham,ham,0.9976417842497551,0.0014258789129303858,0.0009323368373167699
85,arngd marriag is while u r walkin unfortuntli a snake bite u bt love marriag is danc in frnt of d snake amp sayin bite me bite me,ham,ham,0.9880738521855288,0.006931246851576382,0.004994900962894976
86,the messag sent is askin for lt gt dollar shoul i pay lt gt or lt gt,ham,ham,0.9975471289026457,0.001398539518498027,0.001054331578856755
87,wait in e car 4 my mum lor u leh reach home alreadi,ham,ham,0.9969727011603853,0.0017598284977419342,0.0012674703418736905
88,still in the area of the restaur ill tri to come back soon,ham,ham,0.9975057011333941,0.0012225081105337174,0.0012717907560695907
89,and i don t plan on stay the night but i prolli won t be back til late,ham,ham,0.9942616241258088,0.003097739510293377,0.002640636363901176
90,now get rid off cockroach termit bedbug rat ani pest4best deal inpestcontrolservic chemic herbal odorlessdi n ask,spam,ham,0.9817185758267408,0.008628574500773301,0.009652849672485518
91,as i enter my cabin my pa said happi b day boss i felt special she askd me 4 lunch,ham,ham,0.9832704920805871,0.009364828582728609,0.007364679336681118
92,wa the farm open,ham,ham,0.9588878033403017,0.023378329103673965,0.01773386755602595
93,alert your rbc royal bank ha been suspend to unlock your account click here,smishing,ham,0.5130620748391309,0.4505159765052413,0.03642194865562586
